"customer_id","address","city","zipcode"
866,"544 Kennedy Flats","South Janicefurt","61047"
448,"826 Simmons Trace Apt. 710","West Phillip","93665"
822,"1298 Santos Parks Suite 860","Turnerville","41636"
2099,"2019 Harrison Valley Apt. 824","Port Teresa","19536"
706,"4563 Roger Turnpike","Lake Donna","23150"
429,"886 Erik Knolls Suite 830","Ginaville","15423"
2297,"400 Fuller Ridges Apt. 501","Davidbury","90008"
3638,"065 Jordan Ferry","South Kennethview","72032"
2350,"60969 John Lights","Christopherburgh","63747"
1156,"3196 Debra Hill","Strongport","73022"
2742,"441 Tiffany Mews","Johnfurt","66224"
3151,"174 Olivia Burgs","Jonesburgh","53536"
2846,"7514 Anderson Greens","Hallshire","18510"
2582,"150 Pitts Lodge","Lake Markland","71841"
2985,"24302 James Trafficway Suite 188","Danielshire","49424"
571,"USNS Bennett","Roseport","46590"
167,"4091 Gardner Lock","New Jacob","47471"
269,"150 Wright Square Suite 682","Port Luke","13839"
1438,"77296 Charles Cape","Heatherfurt","24137"
1110,"38227 Gonzales Flats Suite 954","Allisonville","79036"
1139,"50461 Keller Ferry","Gonzalezmouth","99756"
3932,"598 Ryan Squares Apt. 945","Kimborough","36054"
1342,"7704 Rubio Summit","South Amberport","38128"
2755,"357 Miller Path Suite 770","Port Jason","24244"
1931,"Unit 5116 Box 3560","Justinhaven","32701"
3183,"46578 Samantha Loaf","Lake Victoria","67853"
1486,"Unit 5428 Box 2479","West Michael","28901"
3336,"911 John Prairie Suite 434","Davidton","35622"
2999,"682 Lauren Loop","Laurenburgh","32189"
1197,"5135 Pitts Rest Apt. 985","Brianview","48457"
2334,"4444 Hampton Field Apt. 272","West Kevinmouth","63339"
3060,"9409 Brandon Key","New Tyler","99658"
2255,"5747 Amanda Well","Jacksonchester","23668"
3351,"7645 Jeffrey Club Apt. 050","Jamesland","50569"
975,"7964 Steven Place","North Andrea","62924"
840,"5384 Candace Mews Apt. 754","Woodside","91351"
1389,"796 Kelly Estate","Garzaville","75058"
3908,"170 Janet Village","West Austinmouth","45232"
3368,"83111 Carr Forges Suite 297","Diazville","68316"
3947,"53553 Lisa Curve Apt. 363","Larrybury","79541"
3668,"78410 Alan Dam Apt. 927","Smithmouth","23502"
1447,"5388 Andrew Shores","Troymouth","06851"
1112,"954 Mary Haven Suite 400","Martinfort","67467"
1244,"6159 Reynolds Turnpike Apt. 814","Arnoldberg","71670"
819,"53818 Kelley Plaza","Lake Stephanietown","02532"
1388,"124 Smith Grove Apt. 015","New Daniel","50023"
740,"231 Vanessa Manors Suite 969","New Shawna","40342"
1650,"571 Daniel Avenue","South Stephen","59461"
1013,"94480 Garcia Mission Apt. 897","South Kenneth","39406"
3709,"328 Douglas Hills Suite 385","Paulfurt","03907"
2414,"PSC 6245, Box 4372","West Tyler","55910"
718,"17420 Watkins Overpass Suite 579","Bakerside","59419"
3075,"135 Dwayne Throughway Suite 723","West Jasmine","28636"
